goos: darwin
goarch: amd64
pkg: github.com/cristaloleg/benches/jwt
BenchmarkEdDSA/sign-EdDSA-4         	   23074	     51515 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23445	     51288 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23138	     51416 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23097	     51375 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23325	     51238 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23256	     51187 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23206	     51034 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23306	     51426 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/sign-EdDSA-4         	   23196	     52847 ns/op	     672 B/op	       7 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8582	    135956 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8643	    136102 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8536	    136434 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8641	    135661 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8638	    135391 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8635	    135630 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8671	    136006 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8588	    135900 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8847	    136304 ns/op	    1664 B/op	      28 allocs/op
BenchmarkEdDSA/check-EdDSA-4        	    8821	    136419 ns/op	    1664 B/op	      28 allocs/op
BenchmarkHMAC/sign-HS256-4          	  573757	      2059 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  605380	      2090 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  535456	      2089 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  576188	      2081 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  567535	      2073 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  581698	      2091 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  555240	      2080 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  591812	      2076 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  597774	      2078 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-4          	  568310	      2070 ns/op	     656 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  741249	      1673 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  743223	      1704 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  734380	      1683 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  706722	      1678 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  719181	      1704 ns/op	     176 B/op	       2 allocs/op
