goos: darwin
goarch: amd64
pkg: github.com/cristaloleg/benches/jwt
Benchmark_One_ECDSA/check-ES512-4        	      74	  15203490 ns/op	 6252276 B/op	   40414 allocs/op
Benchmark_One_ECDSA/check-ES512-4        	      80	  15224785 ns/op	 6252301 B/op	   40414 allocs/op
Benchmark_One_ECDSA/check-ES512-4        	      80	  15268534 ns/op	 6252306 B/op	   40414 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23238	     51691 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23275	     51722 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23077	     51447 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23179	     51482 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23202	     51555 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23042	     51298 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23282	     51694 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23096	     51484 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   23018	     51621 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/sign-EdDSA-4         	   22995	     51505 ns/op	     672 B/op	       7 allocs/op
Benchmark_One_EdDSA/check-EdDSA-4        	    8583	    135826 ns/op	    1664 B/op	      28 allocs/op
Benchmark_One_EdDSA/check-EdDSA-4        	    8599	    136615 ns/op	    1664 B/op	      28 allocs/op
Benchmark_One_EdDSA/check-EdDSA-4        	    8689	    135513 ns/op	    1664 B/op	      28 allocs/op
Benchmark_One_EdDSA/check-EdDSA-4        	    8689	    136208 ns/op	    1664 B/op	      28 allocs/op
Benchmark_One_EdDSA/check-EdDSA-4        	    8620	    135684 ns/op	    1664 B/op	      28 allocs/op
